job_title,uri,essential_skills,optional_skills
accounting assistant,http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6,"['bookkeeping regulations', 'use office systems', 'use accounting systems', 'tax legislation', 'follow the statutory obligations', 'accounting department processes', 'accounting techniques', 'perform business research', 'manage corporate bank accounts', 'check accounting records', 'identify accounting errors', 'attach accounting certificates to accounting transactions', 'allocate bills', 'perform account allocation', 'prepare trial accounting balances', 'maintain financial records', 'issue sales invoices', 'accounting entries', 'depreciation', 'follow up accounts receivables']","['financial statements', 'maintain register of shareholders', 'banking activities', 'perform dunning activities', 'manage payroll reports', 'labour legislation', 'manage cash desk', 'manage accounts', 'handle financial transactions', 'interpret financial statements', 'prepare financial statements', 'manage the general ledger', 'prepare tax returns forms', 'maintain statutory books', 'disseminate information on tax legislation', 'perform cost accounting activities', 'statistics', 'calculate tax', 'company policies']"
accounting manager,http://data.europa.eu/esco/occupation/04f39bfa-bc03-4480-98bc-b18ce4fe4b4b,"['ensure compliance with accounting conventions', 'analyse market financial trends', 'check accounting records', 'financial analysis', 'supervise accounting operations', 'monitor financial accounts', 'accounting entries', 'financial department processes', 'strive for company growth', 'corporate social responsibility', 'depreciation', 'idenfify if a company is a going concern', 'fraud detection', 'follow company standards', 'create a financial plan', 'accounting department processes', 'follow the statutory obligations', 'explain accounting records', 'draft accounting procedures', 'integrate strategic foundation in daily performance', 'support development of annual budget', 'international financial reporting standards', 'enforce financial policies', 'ensure compliance with disclosure criteria of accounting information', 'interpret financial statements', 'financial management', 'tax legislation', 'manage accounts', 'plan health and safety procedures', 'analyse financial performance of a company', 'evaluate budgets', 'financial statements', 'national generally accepted accounting principles']","['advise on public finance', 'forecast organisational risks', 'liaise with financiers', 'prepare tax returns forms', 'advise on financial matters', 'advise on tax planning', 'liquidity management', 'perform cost accounting activities', 'public finance', 'perform account allocation', 'liaise with managers', 'make strategic business decisions', 'prepare financial statements', 'statistics', 'bookkeeping regulations', 'advise on bankruptcy proceedings', 'manage the general ledger', 'disseminate information on tax legislation', 'manage staff', 'perform dunning activities', 'financial forecasting', 'attach accounting certificates to accounting transactions', 'inform on fiscal duties', 'prepare financial auditing reports', 'liaise with auditors', 'calculate tax']"
acoustical engineer,http://data.europa.eu/esco/occupation/b065b637-5cb5-44d9-8c39-08004b51734e,"['acoustical engineering', 'engineering processes', 'perform scientific research', 'acoustics', 'adjust engineering designs', 'approve engineering design', 'engineering principles']","['architecture regulations', 'draft design specifications', 'advise on building matters', 'ensure compliance with noise standards', 'operate audio-signal processors', 'design principles', 'advise architects', 'audio editing software', 'use sound measuring instruments', 'develop product design', 'create software design', 'building codes', 'audio technology', 'design transportation systems', 'physics', 'electrical engineering', 'develop audio system designs', 'examine engineering principles', 'computer science']"
activism officer,http://data.europa.eu/esco/occupation/98358049-fbcd-479e-a644-e92bde5af2e0,"['use communication techniques', 'organise supporters', 'apply strategic thinking', 'design campaign actions', 'guide others']","['motivate supporters', 'speak in public', 'conduct public presentations', 'listen actively', 'social media management', 'perform project management', 'work as a team', 'show intercultural awareness', 'plan events', 'establish collaborative relations', 'observe confidentiality', 'work in an international environment']"
activity leader,http://data.europa.eu/esco/occupation/234be692-befb-41df-bdf0-e1b2f4eaf5e7,"['animate in the outdoors', 'implement risk management for outdoors', 'react acordingly to unexpected events outdoors', 'manage groups outdoors', 'demonstrate games', 'plan self-organisation', 'communicate with youth', 'manage feedback', 'assess risk in the outdoors', 'communicate in an outdoor setting', 'entertain people', 'apply organisational techniques', 'manage outdoor resources', 'communication', 'evaluate outdoor activities', 'supervise children', 'give feedback on changing circumstances', ""support children's wellbeing"", 'communication principles', 'organise camp activities', 'play with children']","['geographical routes', 'promote recreation activities', 'structure information', 'geographic areas', 'outdoor activities', 'research outdoor activities', 'coordinate events', 'empathise with outdoor groups', 'monitor activities', 'liaise with colleagues', 'recreation activities', 'features of sporting equipment', 'develop recreation programmes', 'cooperate with colleagues', 'manage budgets', 'geographical areas relevant to tourism', 'sport games rules']"
actor/actress,http://data.europa.eu/esco/occupation/26171f39-e85a-448f-bd28-a73a5a99927f,"['interpret performance concepts in the creative process', 'rehearse with fellow actors', 'perform live', 'act for an audience', 'work with respect for own safety', 'adapt to different roles', 'accept feedback on artistic performance', 'be in touch with your body', 'attend rehearsals', 'create solutions to problems', 'interact with an audience', 'follow directions of the artistic director', 'declaim', 'study roles from scripts', 'promote yourself', 'study relationships between characters', 'memorise lines', 'analyse theatre texts', 'interact with fellow actors', 'engage the audience emotionally', 'work with an artistic team', 'analyse own performance', 'rehearse role']","['show intercultural awareness', 'acting techniques', 'perform for young audiences', 'sing', 'communicate during show', 'participate in tourism events', 'study media sources', 'music literature', 'deal with public', 'develop magic show concepts', 'work with a voice coach', 'develop puppet shows', 'organise rehearsals', 'show professional responsibility', 'breathing techniques', 'assess progress with the artistic team', 'perform scripted dialogue', 'work in an international environment', 'practice dance moves', 'organise an exhibition', 'perform for multiple takes', 'direct an artistic team', 'vocal techniques', 'organise cultural events', 'perform with motion capture equipment', 'literary theory', 'practise singing', 'perform stunts', 'perform music solo', 'perform improvisation', 'conduct background research for plays', 'plan choreographic improvisation', 'speak different languages', 'photography', 'show confidence', 'perform in a public space', 'attend read-through', 'pronunciation techniques', 'lead cast and crew', 'study music']"
actuarial assistant,http://data.europa.eu/esco/occupation/160c1469-bbb6-48d3-b2a7-db8b30d724b5,"['carry out statistical forecasts', 'statistics', 'financial markets', 'statistical analysis system software', 'calculate insurance rate', 'obtain financial information', 'analyse market financial trends', 'compile statistical data for insurance purposes', 'actuarial science', 'apply statistical analysis techniques']","['produce statistical financial records', 'analyse insurance risk', 'examine credit ratings', 'advise on insurance policies', 'types of insurance', 'analyse financial risk', 'principles of insurance', 'insurance law', 'consult credit score', 'risk management', 'insurance market', 'provide cost benefit analysis reports', 'perform risk analysis', 'create insurance policies']"
actuarial consultant,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482,"['create a financial plan', 'synthesise financial information', 'apply statistical analysis techniques', 'analyse market financial trends', 'obtain financial information', 'provide support in financial calculation', 'produce statistical financial records', 'advise on financial matters', 'actuarial science', 'statistics', 'perform risk analysis', 'financial products']","['consult credit score', 'examine credit ratings', 'types of insurance', 'business loans', 'banking activities', 'analyse loans', 'credit control processes', 'principles of insurance', 'insurance law', 'develop investment portfolio', 'analyse insurance risk', 'insurance market', 'provide cost benefit analysis reports', 'types of pensions', 'advise on risk management', 'modern portfolio theory', 'review investment portfolios', 'analyse financial risk', 'communicate with banking professionals', 'debt systems']"
acupuncturist,http://data.europa.eu/esco/occupation/2dcb5dad-1902-4051-9023-d725485479a7,"['human physiology', 'follow clinical guidelines', 'human anatomy', 'accept own accountability', 'select acupuncture points', 'advise on mental health', 'health care legislation', 'complementary and alternative medicine', 'comply with quality standards related to healthcare practice', 'work in multidisciplinary health teams', 'sterilization techniques', 'observe healthcare users', 'empathise with the healthcare user', 'ensure safety of healthcare users', 'undertake healthcare examination', 'apply context specific clinical competences', ""follow-up on healthcare users' treatment"", ""identify customer's needs"", 'listen actively', 'interact with healthcare users', ""manage healthcare users' data"", 'biomedicine', 'traditional Chinese medicine', 'maintain work area cleanliness', 'comply with legislation related to health care', 'apply acupuncture', 'develop a collaborative therapeutic relationship', 'provide health education', 'develop therapeutic relationships', ""advise on healthcare users' informed consent"", 'pathologies treated by acupuncture', ""obtain healthcare user's medical status information"", 'acupuncture methods']","['general medicine', 'promote inclusion', 'ensure proper appointment administration', 'therapeutic massage', 'dietetics', 'refer healthcare users', 'tai chi', 'process medical insurance claims', 'administrative tasks in a medical environment', 'electrical stimulation in acupuncture', 'work in a multicultural environment in health care', 'offer advice on diet-related concerns', 'conduct cupping therapy', ""record healthcare users' billing information"", 'auriculotherapy', 'apply massage therapy', 'use e-health and mobile health technologies', 'phytotherapy', 'multi-professional cooperation in health care', 'employ foreign languages in care']"
administrative assistant,http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652,"['maintain statutory books', 'perform office routine activities', 'handle mail', 'draft corporate emails', 'disseminate general corporate information', 'fill out forms', 'perform business research', 'ensure proper document management', 'disseminate messages to people', 'organise facilities for office personnel', 'organise business documents', 'keep task records', 'use microsoft office', 'disseminate internal communications', 'file documents', 'use office systems', 'company policies']","['process commissioned instructions', 'issue sales invoices', 'deliver correspondence', 'monitor staff absences', 'liaise with managers', 'transcription methods', 'fix meetings', 'respect data protection principles', 'handle petty cash', 'speak different languages', 'maintain inventory of office supplies', 'manage personnel agenda', 'prepare presentation material', 'organise travel arrangements for staff', 'create import-export commercial documentation', 'coordinate events', 'accounting techniques', 'maintain internal communication systems', 'provide customer follow-up services']"
admissions coordinator,http://data.europa.eu/esco/occupation/6e1b1bd7-9eec-4f10-bce7-94a27d9023e8,"['assessment processes', 'identify education needs', 'provide information on education financing', 'assist students with their enrolment', 'provide information on school services', 'assess students', 'manage student admissions', 'provide education management support']","['counsel students', 'oversee extra-curricular activities', 'primary school procedures', 'office software', 'education administration', 'secondary school procedures', 'assist in the organisation of school events', 'customer service', 'use office systems', 'use different communication channels', 'electronic communication', 'kindergarten school procedures', ""manage educational institution's administration"", 'communication', 'communicate with youth', 'education law', 'student financial aid programmes']"
adult community care worker,http://data.europa.eu/esco/occupation/c6239b9e-5973-4b0a-a2ed-4c4b41331e04,"['meet standards of practice in social services', 'manage stress in organisation', 'encourage social service users to preserve their independence in their daily activities', 'delegate activities', 'manage social crisis', 'review social service plan', 'relate empathetically', 'work within communities', 'assist disabled individuals to participate in community activities', 'support social service users in skills management', 'report on social development', 'adhere to organisational guidelines', 'comply with legislation in social services', 'promote social change', 'apply quality standards in social services', 'maintain records of work with service users', 'apply holistic approach within social services', 'support service users in developing skills', ""support social service users' positiveness"", 'provide social counselling', 'social sciences', 'follow health and safety precautions in social care practices', 'apply problem solving in social service', 'support harmed social service users', ""older adults' needs"", 'handle conflicts', 'demonstrate leadership in social service cases', 'prevent social problems', 'maintain the trust of service users', 'social justice', ""monitor service users' health"", 'customer service', 'apply socially just working principles', ""evaluate older adults' ability to take care of themselves"", ""assess social service users' situation"", 'promote inclusion', 'support social service users with specific communication needs', 'support service users to use technological aids', 'undertake continuous professional development in social work', 'assist social service users in formulating complaints', 'tolerate stress', 'advocate for social service users', 'contribute to protecting individuals from harm', 'protect vulnerable social service users', 'conduct interview in social service', 'undertake risk assessment of clients', 'refer service users to community resources', 'communicate professionally with colleagues in other fields', 'legal requirements in the social sector', ""promote service users' rights"", 'deliver social services in diverse cultural communities', 'listen actively', 'communicate with social service users', 'assist social service users with physical disabilities', 'build helping relationship with social service users', 'involve service users and carers in care planning', 'company policies', 'work in a multicultural environment in health care', 'apply organisational techniques', 'apply decision making within social work', 'maintain privacy of service users', 'apply person-centred care', 'accept own accountability']","[""support children's wellbeing"", 'promote the safeguarding of young people']"
adult literacy teacher,http://data.europa.eu/esco/occupation/02f1ae71-f89c-47b7-af2c-50d7ab1d9b8a,"['give constructive feedback', 'curriculum objectives', 'apply teaching strategies', 'liaise with educational support staff', ""guarantee students' safety"", 'manage student relationships', 'assess students', ""observe student's progress"", 'apply intercultural teaching strategies', 'adult education', 'consult students on learning content', 'adapt teaching to target group', 'encourage students to acknowledge their achievements', 'teach literacy as a social practice', 'provide lesson materials', 'prepare lesson content', 'assist students in their learning', 'learning difficulties', 'perform classroom management', 'teach basic numeracy skills', 'teach writing', 'teach reading strategies', 'assessment processes', ""show consideration for student's situation"", ""adapt teaching to student's capabilities"", 'employ pedagogic strategies to facilitate creative engagement', 'demonstrate when teaching']","['work with virtual learning environments', 'teach digital literacy', 'provide immigration advice', 'teamwork principles', 'facilitate teamwork between students', 'construct individual learning plans', 'assist in the organisation of school events', 'develop curriculum', 'mathematics', 'manage resources for educational purposes', 'advise on lesson plans', 'assign homework', 'assist students with equipment']"
advanced nurse practitioner,http://data.europa.eu/esco/occupation/36494988-69d2-4420-9db4-eb56605ac983,"['apply sustainability principles in health care', 'evaluate nursing care', 'prescribe medication', 'manage personal professional development', 'follow clinical guidelines', 'prescribe advanced nursing care', 'inform policy makers on health-related challenges', 'provide health education', 'mentor other health professionals', 'impact of social contexts on health', 'apply health sciences', 'develop a collaborative therapeutic relationship', 'adhere to organisational guidelines', 'coordinate care', 'contribute to continuity of health care', 'analyse the care quality', 'carry out nurse-led discharge', 'advise on healthy lifestyles', 'diagnose advanced nursing care', 'adapt leadership styles in healthcare', 'implement scientific decision making in healthcare', 'promote a positive image of nursing', 'participate in health personnel training', 'manage information in health care', 'contribute to high level health strategic decisions', 'deal with emergency care situations', 'work in a multicultural environment in health care', 'apply context specific clinical competences', 'listen actively', 'provide treatment strategies for challenges to human health', 'address problems critically', 'interact with healthcare users', 'comply with legislation related to health care', 'have computer literacy', 'comply with quality standards related to healthcare practice', 'work in multidisciplinary health teams', 'implement policy in healthcare practices', 'delegate activities', 'develop plans related to the transfer of care', 'develop advanced health promotion strategies', 'plan advanced nursing care', 'apply person-centred care', 'respond to changing situations in health care', 'empower individuals, families and groups', 'use electronic health records in nursing', 'screen patients for disease risk factors', 'diagnose nursing care', 'ensure safety of healthcare users', 'apply nursing care in long-term care', ""advise on healthcare users' informed consent"", 'empathise with the healthcare user', 'conduct research in advanced nursing care', 'provide nursing advice on healthcare', 'promote inclusion', 'clinical decision-making at advanced practice', 'implement fundamentals of nursing', 'use e-health and mobile health technologies', 'solve problems in healthcare', 'perform health assessment', 'promote human rights', 'implement nursing care', 'initiate life preserving measures', 'accept own accountability', 'educate on the prevention of illness', 'provide professional care in nursing', 'lead healthcare services changes', 'make clinical decisions', 'apply organisational techniques', 'lead research activities in nursing', 'organise homecare for patients']","['employ foreign languages in care', 'employ foreign languages for health-related research']"
advanced physiotherapist,http://data.europa.eu/esco/occupation/a317e9c2-62d5-4a24-8ad4-5cb7b9db3f3b,"['manage a healthcare unit budget', 'develop physiotherapy services', 'engage in physiotherapy research', 'follow clinical guidelines', 'empathise with the healthcare user', 'communicate effectively in healthcare', 'supervise physiotherapist assistants', 'interpret medical results', 'provide information on the effects of physiotherapy', 'adjust physiotherapy interventions', 'provide learning support in healthcare', ""record healthcare users' progress related to treatment"", 'advocate health', ""manage healthcare users' data"", 'work in a multicultural environment in health care', 'ensure safety of healthcare users', 'interact with healthcare users', 'manage physiotherapy staff', 'educate on the prevention of illness', 'apply context specific clinical competences', 'listen actively', 'develop therapeutic relationships', 'develop a collaborative therapeutic relationship', 'promote inclusion', 'prescribe medication', 'provide health education', 'contribute to continuity of health care', 'work in multidisciplinary health teams', 'develop plans related to the transfer of care', 'prescribe healthcare products', 'provide self management support', 'use different communication channels', 'measure effectiveness of the service provided', 'manage clinical risk', 'apply organisational techniques', 'inform policy makers on health-related challenges', 'maintain physiotherapy equipment', 'provide advanced clinical practice in physiotherapy', 'adhere to health well-being and safety', 'use e-health and mobile health technologies', 'respond to changing situations in health care', ""collect healthcare user's general data"", 'create solutions to problems', ""advise on healthcare users' informed consent"", 'apply health sciences', 'contribute to the rehabilitation process', 'conduct health related research', 'deal with emergency care situations', 'adhere to organisational guidelines', 'accept own accountability', 'provide physiotherapy diagnosis', 'contribute to quality physiotherapy services', 'comply with legislation related to health care', 'apply clinical physiotherapy skills', 'develop strategic plans for physiotherapy services', 'comply with quality standards related to healthcare practice', 'supervise physiotherapy students', 'formulate a treatment plan', 'prescribe tests for physiotherapy', 'develop plans related to client discharge', 'manage healthcare staff', 'provide leadership', 'triage clients', 'provide treatment strategies for challenges to human health', 'promote health and safety policies in health services', 'triage clients for physiotherapy', 'utilise advanced clinical skills', 'conduct physiotherapy assessment', 'refer healthcare users']","['apply acupuncture', 'sport and exercise medicine', 'employ foreign languages in care', 'employ foreign languages for health-related research']"
advertising assistant,http://data.europa.eu/esco/occupation/54cba39a-5bb8-4e4c-89cd-d6097d3c6c3a,"['use IT tools', 'develop creative ideas', 'support managers', ""identify customer's needs"", 'perform business research', 'file documents', 'use different communication channels', 'advertising techniques', 'use communication techniques', 'liaise with advertising agencies']","['types of media', 'implement marketing strategies', 'collaborate in the development of marketing strategies', 'design graphics', 'create media plan', 'manage budgets', 'develop media strategy', 'evaluate advertising campaign', 'monitor media industry research figures', 'perform market research', 'provide written content', 'create media schedule', 'examine advertisement layout', 'create content title', 'coordinate advertising campaigns', 'content marketing strategy', 'media planning', 'create advertisements', 'perform media outlets research']"
advertising copywriter,http://data.europa.eu/esco/occupation/b1ab3572-fa2f-4624-8eac-3c3d986d237b,"['create advertisements', 'meet expectations of target audience', ""identify customer's needs"", 'advertising techniques', 'apply grammar and spelling rules', 'follow a brief', 'develop creative ideas', 'product comprehension', 'write to a deadline', 'brainstorm ideas', 'copyright legislation']","['apply desktop publishing techniques', 'desktop publishing', 'conduct search engine optimisation', 'develop media strategy', 'manage budgets', 'draft press releases', 'practice humour', 'social media marketing techniques', 'evaluate advertising campaign', 'proofread text', 'printing techniques', 'give live presentation', 'create storyboards', 'analyse consumer buying trends', 'lay out digital written content', 'coordinate advertising campaigns', 'perform media outlets research', 'types of media', 'typography', 'analyse cultural trends', 'evaluate writings in response to feedback', 'perform market research']"
advertising installer,http://data.europa.eu/esco/occupation/c28cb56b-003e-499a-8dbf-b654864e7867,"['clean glass surfaces', 'risks of elevated advertising structures', 'use personal protection equipment', 'apply company policies', 'outdoor advertising', 'ensure maintenance of the advertising furniture', 'set up advertising street furniture', 'set up advertising material', 'hang advertising posters', 'remove posters']","['operate aerial work platforms', 'advertising techniques', 'graffiti removal techniques', 'handle chemical cleaning agents', 'follow safety procedures when working at heights', 'work in outdoor conditions', 'clean street furniture', 'drive vehicles', 'waste management', 'use power tools', 'select hazard control', 'electronics principles', 'manage routine waste']"
advertising manager,http://data.europa.eu/esco/occupation/4ebf2dae-c326-4627-befe-fbc91410f432,"['market research', ""identify customer's needs"", 'rhetoric', 'conduct public presentations', 'copyright legislation', 'manage budgets', 'diplomatic principles', 'develop public relations strategies', 'analyse external factors of companies', 'advertising techniques', 'draft press releases', 'integrate strategic foundation in daily performance', 'perform project management', 'provide cost benefit analysis reports', 'perform public relations', 'use different communication channels', 'advise on public relations', 'manage contracts', 'protect client interests', 'forming of public opinion', 'coordinate marketing plan actions', 'develop creative ideas', 'establish relationship with the media', 'organise press conferences', 'communication principles', 'advise on public image', 'prepare presentation material', 'coordinate advertising campaigns', 'corporate social responsibility', 'perform interviews', 'draw conclusions from market research results', 'strategic planning', 'develop communication strategies']","['approve advertising campaign', 'desktop publishing', 'pricing strategies', 'collaborate in the development of marketing strategies', 'manage account department', 'examine advertisement layout', 'use analytics for commercial purposes', 'give live presentation', 'manage the handling of promotional materials', 'advise on communication strategies', 'evaluate advertising campaign', 'recruit employees', 'manage creative department', 'make price recommendations', ""receive actors' resumes"", 'manage staff', 'graphic design', 'business strategy concepts', 'manage media services department', 'manage project metrics']"
